title,company,location,posted,description,applicants,work_mode,link,data_coleta
Data Scientist [All Levels],Nubank,"São Paulo, São Paulo, Brazil",5 days ago,"About UsNu was born in 2013 with the mission to fight complexity to empower people in their daily lives by reinventing financial services. We are one of the world’s largest digital banking platforms, serving millions of customers across Brazil, Mexico, and Colombia. For more information, visit our institutional page https://international.nubank.com.br/careers/Data Science at NubankData Science is essential to every part of the business at Nubank, since Day 1. Most areas of the company use data science to some extent. Data Scientists are responsible for translating business needs into models and other types of data-driven solutions.As a Data Scientist, you’re expected toInteract with other team members to understand how to best apply data science and artificial intelligence to Nubank’s problems;Investigate problems and discover insights through exploratory data analysis and other quantitative methods;Have great numerical and analytical literacy, including knowledge of statistics and linear algebra as needed;Work on multiple stages of the ML model lifecycle–from ideation to training and steady-state operation;Work across multiple types of models, algorithms and learning paradigms;Communicate technical points, decisions and tradeoffs to peers and stakeholders;Our ideal candidateHas experience working with ML models in a production environment;Understands possible pitfalls and tradeoffs when applying ML to real-word, sometimes messy problems;Is familiar with the technical aspects of learning theory and algorithms and is able to discuss details if needed;Has experience working with the Python scientific stack (Numpy, Pandas, Scipy, Sklearn, Boosted Tree Libraries, etc);Has experience working with Tensor/Deep Learning libraries such as Tensorflow and Pytorch;Is able to connect analytical outcomes to business priorities and advise stakeholders on the best course of action;Has good communication skills and is able to convey technical topics and decision points to diverse audiences;Has experience writing general-purpose code using modern tools;Understands the implications of causality when applying ML to problems;Is up-to-date with recent developments in the area as a whole and is able to identify opportunities for improvement and innovation;Our BenefitsChance of earning equity at NubankFood/ Meal Card (Vale-Refeição and/or Vale Alimentação)Public Transportation Commuting Benefit (Vale-Transporte)NuCare – Psychological, Financial and Legal Assistance ProgramLife InsuranceMedical PlanDental PlanNuLanguage – Language Course ProgramNucleo - Our learning platform of coursesExtended Parental LeaveDaycare AllowanceParental ConsultancyWork-from-home AllowanceGym Partnerships30 days of paid vacationWork Model for this RoleHybrid 2-3 times/week:Our hybrid work model brings us to the office at least twice a week, on strategic days designed to maximize team connection and collaboration. For more details, visit https://building.nubank.com/nu-hybrid-work-model/Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4364197061,2026-04-03
Data Scientist,IBM,Greater São Paulo Area,3 days ago,"Desenvolver e implementar modelos de IA Generativa para criação de agentes autônomos e outras aplicações inovadoras, integrando soluções em pipelines de dados e ambientes de nuvem. Colaborar na experimentação, validação e otimização contínua de modelos, alinhando resultados às necessidades estratégicas do negócio.Linguagens como Python, R, e SQL.Experiência com algoritmos de aprendizado de máquina e frameworks como TensorFlow, Scikit-Learn e PyTorch.Habilidade em criar visualizações de dados usando ferramentas como Tableau, Matplotlib e Seaborn.Boa experiencia com estas tecnologiasShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4392113538,2026-04-03
Especialista Infraestrutura I ( Cientista de Dados ),Claro Brasil,"São Paulo, São Paulo, Brazil",3 days ago,"Responsabilidades e atribuiçõesO que te espera no dia a dia:Projetar e evoluir a arquitetura de dados (pipelines, modelagem, repositórios, segurança).Definir padrões técnicos e boas práticas para ingestão, processamento, armazenamento e exposição dos dados.Garantir a escalabilidade e a performance das soluções de dados para grandes volumes.Atuar na automação de processos de extração, carga e transformação (ETL/ELT).Avaliar e implementar ferramentas de integração, versionamento e monitoramento de dados.Apoiar os analistas no desenvolvimento de modelos estatísticos, preditivos e aplicações de IA.Atuar na curadoria das bases de dados, garantindo qualidade, governança e integridade da informação.Trabalhar em conjunto com o coordenador da área e os Business Partners de Dados para garantir soluções alinhadas às demandas operacionais.Realizar Análises Exploratórias, Modelagens e Análises Estatísticas, identificar padrões e tendências, e desenvolver soluções para problemas de negócios.Pesquisar e aplicar novas tecnologias e soluções (open source e proprietárias) relacionadas a dados, inteligência artificial e Machine Learning.Relatar seus insights aos executivos e gestores da empresa, portanto, é necessário um foco em visualização e apresentação dos dados.Requisitos e qualificaçõesBuscamos alguém que:Pensa e age a partir das perspectivas dos clientes. Demonstra interesse e curiosidade de conhecer os clientes, seus comportamentos e preferências para atender e superar suas expectativas;Demonstra compromisso permanente em aprender, ensinar e desenvolver, contribuindo para um ambiente descontraído, respeitoso e colaborativo, incentivando a diversidade;É flexível para se desprender de paradigmas e modelos mentais existentes. Busca soluções inovadoras e sustentáveis, para criar vantagens competitivas para o negócio, equilibrando os interesses econômicos, ambientais e sociais.Para fazer parte do nosso time, é essencial:Residir em São PauloGraduação em Ciência da Computação, Engenharia, Sistemas de Informação, Estatística, Matemática ou áreas correlatas.Sólida experiência com bancos relacionais e não relacionais (Ex: PostgreSQL, Oracle, MongoDB, BigQuery, Redshift etc).Domínio de processos ETL/ELT, automações e ferramentas como Airflow, Talend, DBT, Data Factory ou similares.Experiência em cloud (GCP, Azure, AWS), especialmente com arquiteturas de dados (Data Lake, Data Warehouse, Lakehouse).Conhecimento avançado em Python (preferencialmente com bibliotecas como Pandas, Scikit-learn, PySpark e framework Django).Experiência com modelos estatísticos e preditivos, machine learning, e idealmente com frameworks como TensorFlow, PyTorch ou Prophet.Conhecimentos em governança de dados, versionamento de dados e documentação.É diferencial:Pós-graduação em Ciência de Dados, Engenharia de Dados, Big Data ou IA.Experiência comprovada em projetos de inteligência artificial e aprendizado de máquina.Inglês FluenteInformações adicionaisNaClaro, pessoas é um dos nossos valores.Com este pensamento, investimos sempre no cuidado com a saúde, bem-estar e qualidade de vida dos nossos colaboradores! Para que você tenha a melhor experiência em sua jornada com a gente, oferecemos um atraente pacote de benefícios. Veja só:Jornada Flexível;Vale-Refeição e Alimentação;Assistência Médica e Odontológica;Auxílio para patologias graves;Auxílio ao dependente com deficiência;Benefício Farmácia;Auxílio Creche/Babá;Programa de Apoio Pessoal;Claro Running;Previdência Privada;Seguro de Vida;Combo Colaborador;Wellhub (Gympass)Meu Pet ClubConvênios e Parcerias;Programa de Reconhecimento por tempo de casa;E muito mais!Na nossa empresa, valorizamos um ambiente inclusivo, diverso, ético, colaborativo e harmônico. Não fazemos distinção de gênero, raça, cor, orientação sexual, posição social ou deficiências. Todos e todas são bem-vindos(as)!Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4392999936,2026-04-03
"Cientista de Dados (Brasil, Remoto)",Dell Technologies,"São Paulo, São Paulo, Brazil",2 weeks ago,"A área de Engenharia Centrada em IA é dinâmica e empolgante, fazendo parte do Escritório do CTO (OCTO) da Dell. Conduzimos pesquisas e engenharia voltadas para o futuro da Dell Technologies em um ambiente de alta visibilidade e colaboração intensa. Nossa equipe é especializada no desenvolvimento de soluções avançadas de IA que capacitam empresas a inovar, se comunicar e otimizar operações de maneiras nunca antes possíveis. Somos compostos por pessoas apaixonadas e dedicadas a ultrapassar os limites da tecnologia de IA.Junte-se a nós para realizar o melhor trabalho da sua carreira e causar um impacto social profundo comoCientista de Dadosem nossa equipe no Brasil (remoto).O que você conquistaráComoCientista de Dadosvocê será responsável por contribuir com a estratégia de negócios e influenciar a tomada de decisões com base em informações obtidas por meio de análises aprofundadas. Você produzirá recomendações acionáveis e envolventes ao interpretar insights de conjuntos de dados complexos. Também irá projetar processos para consolidar e examinar dados não estruturados, gerando insights relevantes. Além disso, colaborará com líderes de negócios, engenheiros e especialistas da indústria para construir modelos preditivos, algoritmos e motores de probabilidade.Você IráColaborar com equipes internas e externas para entender os requisitos dos clientes e desenvolver soluções personalizadas utilizando modelos de IA generativa;Desenvolver aplicações de IA utilizadas em diferentes áreas da Dell, com o objetivo de transformar e modernizar a empresa;Desenvolver e conduzir testes para avaliar a eficácia de algoritmos em diferentes casos analíticos;Manter-se atualizado com os avanços mais recentes em pesquisa de IA e aplicar técnicas de ponta para aprimorar o desempenho dos modelos;Realizar testes rigorosos, validação e avaliação de desempenho das soluções de IA.Dê o primeiro passo em direção à carreira dos seus sonhosCada Membro Da Equipe Da Dell Technologies Traz Algo Único Para a Mesa. Aqui Está o Que Estamos Procurando, Com Esta FunçãoRequisitos EssenciaisFormação acadêmica: Graduação completa em Ciência da Computação, Engenharia (Computação, Software, Elétrica, Controle e Automação), Estatística, Matemática, Física ou áreas correlatas. Pós-graduação stricto sensu (Mestrado ou Doutorado) em áreas relacionadas à Inteligência Artificial, Aprendizado de Máquina ou Ciência de Dados;Domínio avançado do inglês, necessário para interação constante com times internacionais;Sólidas habilidades de programação em Python;Compreensão dos conceitos de Aprendizado de Máquina (Machine Learning);Conhecimento e familiaridade com os conceitos fundamentais de design e análise de algoritmos, além de forte conhecimento em matemática e estatística.Requisitos DesejáveisCompreensão sólida de arquiteturas de Deep Learning, com experiência em ajuste fino e personalização de modelos pré-treinados para aplicações específicas. Proficiência em Python e nas bibliotecas/frameworks relevantes (ex.: TensorFlow, PyTorch);Experiência com modelos de linguagem de grande escala e familiaridade com técnicas e aplicações de processamento de linguagem natural (PLN).Quem somosAcreditamos que cada pessoa tem o poder de gerar impacto. É por isso que colocamos as pessoas da nossa equipe no centro de tudo o que fazemos. Se você está procurando uma oportunidade de desenvolver a sua carreira em um ambiente de trabalho inclusivo e diverso, com a tecnologia mais avançada do setor, estamos procurando por você.A Dell Technologies é uma família única de empresas que ajuda pessoas e organizações a transformar a forma como trabalham, vivem e se divertem. Junte-se a nós para construir um futuro que funcione para todas as pessoas, porque o progresso precisa de nós.A Dell Technologies está comprometida com o princípio de oportunidades iguais de emprego para todas as pessoas, e em fornecer às pessoas da equipe um ambiente de trabalho livre de discriminação e assédio. Leia a nossa Política de Oportunidades de Emprego aqui.Job ID:R283866Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344395115,2026-04-03
Data Scientist,IBM,Greater São Paulo Area,3 days ago,"Linguagens como Python, R, e SQL. Experiência com algoritmos de aprendizado de máquina e frameworks como TensorFlow, Scikit-Learn e PyTorch. Habilidade em criar visualizações de dados usando ferramentas como Tableau, Matplotlib e Seaborn.Boa experiência com estas tecnologias, inglês intermediário mínimoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4392101698,2026-04-03
Cientista de Dados (Zé Delivery - SÃO PAULO/SP),Ambev,"São Paulo, São Paulo, Brazil",1 week ago,"Descrição da vagaAtualmente a nossa Cultura passa por um processo de transformação e evolução. A nossa história e o nosso jeito de ser são marcados por sonhos grandes que nos trouxeram até aqui e que nos enchem de orgulho! Mas acreditamos que o momento de evoluir é sempre o agora e poder fazer isso junto com a nossa gente é o que torna nossa jornada ainda mais incrível. Nossa cultura honra o passado e hoje também é norteada por 3 principais valores que nos guiam para sermos uma cia cada vez mais inclusiva, diversa, colaborativa, tecnológica e conectada ao futuro do mundo e da nossa plataforma de negócios, são eles: Escuta Ativa, Colaboração e Visão de Longo Prazo, cada um abarcando outras competências que fazem parte do nosso jeito de ser. Nos orgulhamos da nossa capacidade de realização e paixão que nos trouxeram até aqui e para continuarmos a evoluir juntos te convidamos a fazer parte também dessa jornada. Prazer, somos a Ambev e adoraríamos te ter com a gente. Vamos juntos?!Responsabilidades e atribuiçõesO que buscamos (Essencial)Alguém que assuma responsabilidade pessoal pelos resultados do squad e não aceite o ""isso não é problema meu"".Domínio Técnico (Hard Skills):Sólida experiência com Python/PySpark.Experiência com plataformas de nuvem (AWS ou Azure).Proficiência em algoritmos de recomendação (Collaborative Filtering, Content-based, Reinforcement Learning para personalização).Capacidade de trabalhar com modelos em tempo real e grandes volumes de dados.Métricas de validação de modelos.Conhecimento em machine learning, estatística e modelagem preditiva.Capacidade de entendimento de negócio, com foco em impacto e tomada de decisão baseada em dados.Simplicidade e Escala: Foco em criar soluções que sejam simples de manter e fáceis de escalar para toda a companhia.Visão de Longo Prazo: Alguém que não pegue atalhos éticos ou técnicos que gerem débitos impagáveis no futuro.Diferenciais (Nice to Have)Experiência com experimentação e testes A/B em larga escala.Colaboração Cross-funcional: Experiência prévia trabalhando em parceria com Machine Learning Engineers (MLE) para o deploy de modelos.Noções de Multi-armed Bandits.Data Storytelling: Capacidade de traduzir métricas técnicas complexas em insights de negócio para stakeholders de Marcas e Produto.Visão de Custos: Mentalidade de otimização de custos de processamento em nuvem (gerenciar recursos com disciplina)Requisitos e qualificaçõesFormação:Ensino Superior Completo.Modelo De TrabalhoRemotoPré-requisito Da FunçãoExperiência e habilidade em análise de dados;Boa capacidade de relacionamento com diferentes áreas;Habilidade de trabalhar em equipe;Boa comunicação (oral e escrita);Boa capacidade de executar demandas paralelas de forma organizada.Informações adicionaisHoje Na AMBEV Nós Trabalhamos Com Os Melhores Benefícios Para Você e Também Para Os Seus Dependentes Legais! Aqui Na Companhia Nós Conseguimos Te ProporcionarMais cuidado com a sua saúde através de Plano Médico, Odontológico, Telemedicina, Seguro de Vida e GympassSaúde mental com a Telemedicina Dasa e Gente 360Consumir nossos produtos com um super desconto (é isso mesmo, nós temos venda de produtos para funcionários no precinho!)Reuniões de final de ano com a família ainda mais prazerosas, pois oferecemos Cesta de Natal e ainda brinquedo para quem tem filhosProteção financeira com a nossa previdência privadaA possibilidade de você fazer um bom mercado ou comer no restaurante que você gosta com Vale Alimentação ou Refeição, pois você poderá optar por um destes benefíciosO vale transporte é opcional e você pode conferir no modelo da vagaTer a oportunidade de receber um abono assiduidade, que nada mais é do que o 14º salário para nossos colaboradores, um salário extra no ano!Auxílio Creche ou Auxílio babáParticipação dos Lucros da companhiaAlém de sonhar, se desenvolver, construir e crescer dentro de um ambiente meritocrático e inclusivo e ser capaz de fazer a diferença unindo as pessoas por um mundo melhor!Seja bem-vindo à AmbevENTRE PARA UM TIME QUE SONHA TÃO GRANDE COMO VOCÊ!Somos milhares de apaixonados e apaixonadas pelo que fazemos. Temos um orgulho imenso do nosso poder de impacto positivo e reconhecemos que, agindo como donos e donas, cada um de nós desempenha um papel fundamental no sucesso do nosso ecossistema. Somado a isso, todas nossas grandes conquistas tem o sabor da colaboração! Nosso sucesso é compartilhado e acreditamos que por meio da colaboração podemos encantar ainda mais o nossos clientes com as marcas que eles amam hoje, ao mesmo tempo em que podemos atender aos gostos de amanhã.🍻A Nossa Cultura é focada em construir um ambiente inclusivo e colaborativo, onde as pessoas possam ser o melhor delas mesmas - e nos ajudar a ser a nossa melhor versão! Procuramos gente com paixão, curiosidade e coragem para fazer a diferença aqui.Acolhemos talentos diversos, porque acreditamos que grandes ideias vêm de pessoas com diferentes trajetórias. Oferecemos oportunidades para talentos que estão ingressando no mercado de trabalho e somos apaixonados por impulsionar a nossa gente.É trabalhando e crescendo juntos que atingimos o nosso propósito: Sonhamos Grande por um Futuro com Mais Razões para Brindar!Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4385767672,2026-04-03
Data Scientist I - Pricing,Banco Bradesco,"Osasco, São Paulo, Brazil",1 week ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Pricing?Temos como missão mobilizar a organização a maximizar a geração de valor financeiro de longo prazo por meio de estratégias de precificação inteligentes, equilibrando crescimento, rentabilidade e principalidade de forma sustentável.Modelo de trabalho : Híbrido - 3x PresencialUnidade: Osasco/SPComo será seu dia a dia?Sendo Data Scientist I, atuará na gerência Pricing e suas principais atividades serão:Apoiar e realizar análises de dados de produção, carteira, rentabilidade e qualidade de crédito.Acompanhar políticas de preço, testes de elasticidade e resultados dos modelos de pricing.Auxiliar na construção, atualização e validação de bases de dados, relatórios e dashboards.Dar suporte às frentes de trabalho e projetos da área, organizando informações e análises para tomada de decisão.Interagir com áreas parceiras (Dados, Produtos, Projetos e Tecnologia) para apoiar demandas de pricing.Requisitos e QualificaçõesO que você precisa ter ou saber?Formação: Engenharias, Exatas (Estatística, Matemática etc.) ou Econômicas (Economia, Administração, Ciências Contábeis)Excel intermediário ou avançado, com domínio de funções como SOMASE, CONT.SES, MÉDIASES, PROCX ou PROCV, SE e SEERRO, além de tabelas dinâmicas e filtros;Capacidade de estruturar, analisar e validar dados;Será um diferencial se você tiver:Conhecimentos em SQL, Python, Databricks, SAS e VBA;Experiência em empréstimos bancários ou conhecimento do mercado de consignado;O que nós oferecemosNo Bradesco valorizamos a saúde e bem-estar, oferecendo um extenso portfólio de benefícios a todas nossas pessoas funcionárias:PLR ou Bônus: Conforme a elegibilidade de cargo*Convênio MédicoConvênio OdontológicoSeguro de VidaVale AlimentaçãoVale Refeição13º Cesta AlimentaçãoTotal PassVale Transporte (adesão opcional)Descontos em produtos e serviços em empresas parceirasPrevidência Privada (adesão opcional, com participação financeira da Organização Bradesco)Viva Bem Bradesco: programa de saúde, bem-estar e qualidade de vidaUnibrad: Universidade Corporativa BradescoIsenção de Tarifas: condições especiais em diversos produtos e serviçosAuxílio Creche ou BabáLicença Paternidade estendida de 20 diasLicença Maternidade de 180 dias, acompanhamento assistencial da gestação até o pós-partoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4387988729,2026-04-03
Data Scientist II - Estratégias de Recuperação e Cobrança de Produtos Agro,Banco Bradesco,"Osasco, São Paulo, Brazil",2 weeks ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Crédito?Temos como missão garantir uma gestão eficiente na concessão e manutenção de crédito, que assegure rentabilidade e o crescimento com solidez dos ativos da Organização.Modelo de trabalho : Híbrido - 2x PresencialUnidade: Osasco/SP e Curitiba/PRComo será seu dia a dia?Sendo Data Scientist II, atuará na gerência Portfólio Agro e suas principais atividades serão:Apoiar na execução das estratégias de cobrança e recuperação para o segmento Agro.Realizar análises de carteira: comportamento de pagamento, riscos, performance e tendências.Atuar em renegociações, contato com clientes e suporte às operações internas.Elaborar relatórios, dashboards, indicadores e insights que suportem a tomada de decisão.Desenvolver análises e manipulação de dados, preferencialmente utilizando Databricks.Colaborar com áreas internas e parceiros externos envolvidos nos processos de recuperação.Requisitos e QualificaçõesO que você precisa ter ou saber?Graduação em áreas analíticas: Engenharias, Estatística, Matemática, Economia ou áreas correlatas.Experiência comprovada em análise e manipulação de dados.Domínio de ferramentas analíticas: Power BI; Excel Avançado; Databricks (preferencial).Será um diferencial se você tiver:Desejável conhecimento em produtos Agro, como: CPR e Crédito Rural.O que nós oferecemosNo Bradesco valorizamos a saúde e bem-estar, oferecendo um extenso portfólio de benefícios a todas nossas pessoas funcionárias:PLR ou Bônus: Conforme a elegibilidade de cargo*Convênio MédicoConvênio OdontológicoSeguro de VidaVale AlimentaçãoVale Refeição13º Cesta AlimentaçãoTotal PassVale Transporte (adesão opcional)Descontos em produtos e serviços em empresas parceirasPrevidência Privada (adesão opcional, com participação financeira da Organização Bradesco)Viva Bem Bradesco: programa de saúde, bem-estar e qualidade de vidaUnibrad: Universidade Corporativa BradescoIsenção de Tarifas: condições especiais em diversos produtos e serviçosAuxílio Creche ou BabáLicença Paternidade estendida de 20 diasLicença Maternidade de 180 dias, acompanhamento assistencial da gestação até o pós-partoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4386981490,2026-04-03
Data Scientist III - People Analytics,Banco Bradesco,"Osasco, São Paulo, Brazil",2 weeks ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Pessoas, Cultura e Performance?Nosso modelo de Gestão de Recursos Humanos está pautado na excelência, no respeito e na transparência em nossas relações, no contínuo investimento no desenvolvimento, no compartilhamento do conhecimento e na valorização do ser humano, sem discriminação. Nosso cuidado com o time está expresso em duas premissas da Política de Gerenciamento dos Recursos Humanos da Organização: Estimular o bom relacionamento entre todos os profissionais da Organização, manter o ambiente de trabalho seguro e saudável e propiciar condições para níveis ótimos de desempenho e produtividade. Contribuir para a melhoria da qualidade de vida dos funcionários, oferecendo condições para o equilíbrio entre o trabalho, a saúde e a família.Modelo de trabalho : Híbrido - 1x PresencialUnidade: Osasco - SPComo será seu dia a dia?Sendo Data Scientist III, atuará na gerência Inteligência de Dados e suas principais atividades serão:Desenvolver e implementar modelos de Machine Learning e técnicas de estatística avançada para análises preditivas.Realizar análises exploratórias e identificar padrões em grandes volumes de dados.Garantir a qualidade, consistência e governança dos dados utilizados nos modelos.Colaborar com engenheiros de dados para integração e deploy de modelos em ambientes de produção.Criar painéis e visualizações para comunicar insights de forma clara e acessível.Traduzir resultados técnicos em informações estratégicas para áreas de negócio.Propor estudos e soluções analíticas para apoiar decisões baseadas em dados.Requisitos e QualificaçõesO que você precisa ter ou saber?Formação superior completa em estatística, matemática, engenharia, ciência de dados ou áreas correlatas.Atuação sólida em modelagem preditiva e aplicação prática de machine learning.Conhecimento avançado em EstatísticaDomínio de Python e bibliotecas para ciência de dados.Conhecimento intermediário em SQL.Vivência intermediária em ambientes cloud (AWS, Azure ou GCP).Habilidade em Data Visualization (Matplotlib, Seaborn, Power BI ou Tableau) para criação de dashboards e comunicação de insights.Será um diferencial se você tiver:Vivência prévia em People Analytics.Contato com LLM (Large Language Models).O que nós oferecemosNo Bradesco valorizamos a saúde e bem-estar, oferecendo um extenso portfólio de benefícios a todas nossas pessoas funcionárias:PLR ou Bônus: Conforme a elegibilidade de cargo*Convênio MédicoConvênio OdontológicoSeguro de VidaVale AlimentaçãoVale Refeição13º Cesta AlimentaçãoTotal PassVale Transporte (adesão opcional)Descontos em produtos e serviços em empresas parceirasPrevidência Privada (adesão opcional, com participação financeira da Organização Bradesco)Viva Bem Bradesco: programa de saúde, bem-estar e qualidade de vidaUnibrad: Universidade Corporativa BradescoIsenção de Tarifas: condições especiais em diversos produtos e serviçosAuxílio Creche ou BabáLicença Paternidade estendida de 20 diasLicença Maternidade de 180 dias, acompanhamento assistencial da gestação até o pós-partoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4386598797,2026-04-03
CIENTISTA DE DADOS - MATRIZ,Instituto de Responsabilidade Social Sírio-Libanês,"São Paulo, São Paulo, Brazil",1 week ago,"Somos Todos InstitutoFundado em 2008, o Instituto de Responsabilidade Social Sírio-Libanês (IRSSL) nasceu com o propósito de fortalecer a atuação social voluntária da Sociedade Beneficente de Senhoras do Hospital Sírio-Libanês na saúde pública do Brasil, tendo como missão levar a excelência administrativa e operacional, já reconhecida no setor privado, às esferas municipais e estaduais do País.O Instituto administra atualmente13 unidadesde saúde: Hospital Municipal Infantil Menino Jesus, Hospital Geral do Grajaú, Hospital Regional de Jundiaí, Hospital Regional de Registro, Hospital Regional Rota dos Bandeirantes (Barueri), Hospital Geral de Taipas, Hospital Geral de Vila Penteado, AME Interlagos, AME Jundiaí, AMAS, Ambulatório de Gratuidades, Núcleo de Saúde da Fundação Lia Maria Aguiar, Serviço de Reabilitação Lucy Montoro de Mogi Mirim.Nosso propósito:Compartilhar a excelência na saúde pública com relevância social.Nossa visão:Ser uma organização social protagonista na jornada de excelência em saúde com responsabilidade social no Brasil.Nossos valores:S - SolidariedadeE - ExcelênciaR - ResultadoDescubra mais sobre nós clicando no link abaixo:http://irssl.org.br/institucional/#institucionalResponsabilidades e atribuiçõesDesenvolver modelos analíticos para avaliação de desfechos clínicos, eficiência de protocolos médicos e qualidade assistencial;Desenvolver dashboards assistenciais unificando dados de 2 ERPS, utilizando linguagem SQL para extração de dados MV e Tasy. Ex: Taxa de mortalidade x CID, casos críticos de infecção hospitalar por setor. Corpo clínico especializado em neurologia x hospital . Taxa de utilização de documentos eletrônicos de prontuário, entre outros;Analisar dados clínicos, epidemiológicos e operacionais para apoiar a tomada de decisões no setor de Práticas Médicas;Criar dashboards e relatórios interativos para monitoramento de indicadores de saúde e performance hospitalar;Aplicar inteligência artificial e machine learning para identificação de padrões e predição de riscos clínicos;Trabalhar junto às equipes médicas para identificar oportunidades de melhoria nos protocolos assistenciais;Garantir a qualidade, integridade e governança dos dados clínicos analisados;Desenvolver algoritmos para otimização de fluxos assistenciais e redução de eventos adversos;Monitorar tendências tecnológicas e regulatórias em ciência de dados para saúde.Realizar tratamento, transformação e consolidação de dados oriundos de múltiplas fontes e sistemasRequisitos e qualificaçõesEnsino Superior Completo: Ciência de DadosPós Graduação: Saúde Digital, Ciência de dados aplicada à saúde ou áreas correlatasConhecimento avançado em SQL, MV e Tasy, Python, R, Power BI e bibliotecas de ciência de dados, Apache Hop e Pentaho.Capacidade de análise e interpretação de indicadores epidemiológicos e relatórios de controle de infecções.Conhecimento prático em metodologias de melhoria contínua de processos (Lean, Six Sigma, PDCA) e segurança do paciente.Experiencia em construção e sustentação de Data Warehouses (DW) e modelos dimensionais voltados à análise de dados.Realizar tratamento, transformação e consolidação de dados oriundos de múltiplas fontes e sistemas.Capacidade de análise e interpretação de indicadores epidemiológicos e relatórios de controle de infecções.Informações adicionaisRemuneração + Pacote de benefícios completo:Vale TransporteVale AlimentaçãoVale Refeição (Exceto para as unidades que possuem Refeitório)Assistência MédicaAssistência OdontológicaSeguro de VidaConvênio FarmáciaAuxílio CrecheClube de BenefíciosShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4388086338,2026-04-03
