title,company,location,posted,description,applicants,work_mode,link,data_coleta
Data Scientist I,Banco Bradesco,"Osasco, São Paulo, Brazil",4 days ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Crédito?Temos como missão garantir uma gestão eficiente na concessão e manutenção de crédito, que assegure rentabilidade e o crescimento com solidez dos ativos da Organização.Modelo de trabalho : Hibrido - 2x presenciaisUnidade: Osasco - SPComo será seu dia a dia?Sendo Data Scientist I, atuará na gerência de Pricing Agro e suas principais atividades serão:Construir dashboards executivos para acompanhamento de indicadores.Realizar análises exploratórias e preditivas de dados.Apoiar decisões de precificação através de estudos quantitativos.Manipular e estruturar bases de dados utilizando SQL.Desenvolver análises relacionadas à rentabilidade e desempenho dos produtos.Elaborar apresentações executivas com insights para a liderança.Explorar o uso de Inteligência Artificial e Copilot para otimizar processos e análises.Trabalhar com informações internas e externas para geração de recomendações de negócio.Requisitos e QualificaçõesO que você precisa ter ou saber?Formação superior completa ou em andamento em Engenharia, Economia, Estatística, Matemática ou áreas correlatas.Excel Avançado.Conhecimento em SQL.Conhecimento em análise e manipulação de dados.Conhecimento de indicadores financeiros e rentabilidade.Perfil analítico e orientado a dados.Boa capacidade de comunicação e apresentação.Interesse em desenvolver conhecimento em precificação e analytics.Será um diferencial se você tiver:Conhecimento em Databricks.Conhecimento em AWS.Experiência em áreas de crédito, controladoria, finanças ou atacado.Experiência ou conhecimento em precificação de produtos financeiros.O que nós oferecemosNo Bradesco valorizamos a saúde e bem-estar, oferecendo um extenso portfólio de benefícios a todas nossas pessoas funcionárias:PLR ou Bônus: Conforme a elegibilidade de cargo*Convênio MédicoConvênio OdontológicoSeguro de VidaVale AlimentaçãoVale Refeição13º Cesta AlimentaçãoTotal PassVale Transporte (adesão opcional)Descontos em produtos e serviços em empresas parceirasPrevidência Privada (adesão opcional, com participação financeira da Organização Bradesco)Viva Bem Bradesco: programa de saúde, bem-estar e qualidade de vidaUnibrad: Universidade Corporativa BradescoIsenção de Tarifas: condições especiais em diversos produtos e serviçosAuxílio Creche ou BabáLicença Paternidade estendida de 20 diasLicença Maternidade de 180 dias, acompanhamento assistencial da gestação até o pós-partoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4433003163,2026-06-29
Data Scientist - Specialist,Gerdau,"São Paulo, São Paulo, Brazil",6 days ago,"Com 125 anos, a Gerdau é a maior empresa brasileira produtora de aço e uma das principais fornecedoras de aços longos e especiais do mundo. No Brasil, também produz aços planos e minério de ferro. Com o propósito de empoderar pessoas que constroem o futuro, é referência de internacionalização no setor industrial do país, está presente em vários países nas Américas e conta com 30 mil colaboradores.Data Scientist - Specialist é o responsável por desenvolver e implementar soluções analíticas, atuando na preparação de dados, construção de modelos e geração de insights para suportar a tomada de decisão. Esse profissional participa ativamente de projetos de ciência de dados, contribuindo para a evolução das soluções e sua aplicação em escala.Principais responsabilidades:Desenvolver e implementar modelos de machine learning.Traduzir problemas de negócio em análises e soluções orientadas a dados.Apoiar a escalabilidade e manutenção dos modelos desenvolvidos.Atuar em conjunto com o time garantindo qualidade e consistência das entregas.Contribuir na automação e monitoramento de soluções analíticas.Requisitos técnicos:Domínio de Python e SQL para análise e manipulação de dados.Experiência com Databricks (notebooks, workflows).Conhecimento em estatística aplicada e machine learning (regressão, classificação, ensembles) e otimização.Experiência com construção de pipelines de dados e modelagem.Vivência com bancos de dados e otimização de consultas.Capacidade de construir análises e relatórios de impacto para o negócio.Conhecimento em tópicos de IA Generetiva e Multiagentes.Formação e experiência:Graduação em Engenharia, Matemática, Estatística, Computação ou áreas correlatas.Inglês Avançado é diferencial.Experiência com indústria é diferencial.Programas de Benefícios da GerdauNa Gerdau, você é o personagem principal! Por isso, estamos sempre nos reinventando para construir o amanhã do seu lado. Valorizamos nossos colaboradores e oferecemos um pacote de benefícios abrangente para promover qualidade de vida e desenvolvimento profissional. Nossos benefícios incluem:Programa de Benefícios flexíveis, para escolher seus benefícios, selecionando aqueles que melhor se adequam à sua realidade. Tudo em uma plataforma moderna, simples e intuitiva.Previdência Complementar: Quem começa a pensar agora no futuro pode aproveitar com tranquilidade todas as etapas da vida. Com a Previdência Complementar, você e sua família podem planejar o futuro a partir de contribuições mensais e rentabilidade do plano no longo prazo. https://www.gerdauprevidencia.com.br/Assistência Médica: Cobertura de saúde adaptada ao Rol da ANS colaboradores e seus dependentes legais.Acesso ao Pronto Atendimento Virtual e Atenção Primaria Digital: Acesso sem custos a consultas médicas online, facilitando o cuidado com a saúde, ambos do Hospital Albert EinsteinVale-Refeição ou Refeitório: acesso ao refeitório nas unidades da empresa, as unidades que não possuem refeitório Vale-refeiçãoVale AlimentaçãoPrograma para GestantesAuxílio Creche: Suporte financeiro para colaboradoras mães com filhos até 5 anos e 11 meses de idade.Auxílio Medicamento: Subsídio para a compra de medicamentos prescritos.Programa +Cuidado: assistência profissional sem custo para apoiar na resolução de problemas pessoais: psicológicas, financeiras, jurídicas e sociais.Gympass ou TotalpassSeguro de VidaAuxílio ortopédicoVale-Transporte ou Fretado: Auxílio no transporte diário ou opção de transporte fretado, dependendo da localidade.Participação nos Lucros e Resultados: Programa de participação nos lucros da empresaNa Gerdau, você também encontra descontos especiais em:Plano odontológico, Assistência Funeral para Pais, Planos de Saúde para Agregados, Seguros Pessoais, Entretenimento Digital, Programas de Fidelidade, Plano de Saúde para Pet e através do Clube de Benefícios Gerdau.Temos como princípio a promoção de um ambiente diverso e inclusivo. Respeitamos e valorizamos a diversidade, por isso todas as pessoas qualificadas serão consideradas para as vagas sem distinção de deficiência, gênero, idade, identidade ou orientação sexual, nacionalidade, raça, religião, ou qualquer outra característica.Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4430837280,2026-06-29
Cientista de Dados Jr.,PagBank,"São Paulo, São Paulo, Brazil",2 weeks ago,"Descrição da vagaQuando você pensa em carreira, o que vem à sua mente? Propósito? Colaboração? Ser protagonista para fazer a diferença? No PagBank temos tudo isso e muito mais. 💛Estamos em busca de pessoas que vistam a camisa com orgulho. Gente com vontade de facilitar a vida financeira das pessoas e impulsionar negócios!Tá a fim de uma carreira que rende mais?Confira essa oportunidade e #VemProPags!Responsabilidades e atribuiçõesDesenvolver modelos para otimização de processos de banking ou adquirência.Analisar grandes volumes de dados transacionais para identificar padrões, tendências e oportunidades de melhoria nos processos.Implementar algoritmos de segmentação de clientes e predição de comportamento para aumentar a eficiência e a personalização dos serviços oferecidos.Trabalhar em estreita colaboração com equipes de engenharia, produto e negócios para definir e implementar soluções de dados que atendam às necessidades do cliente e da empresa.Fornecer insights complexos de maneira clara e eficaz para stakeholders não técnicos, ajudando na tomada de decisões estratégicas.Requisitos e qualificaçõesSuperior completo ou em andamento em Ciências da Computação, Engenharia, Matemática, Estatística ou áreas relacionadas.Experiência com análise de grandes volumes de dados para a geração de insights para times de negócio.Experiência com ferramentas de análise de dados e programação como SQL, Python, R ou bibliotecas de machine learning (TensorFlow, PyTorch, Scikit-Learn, etc.).Habilidade para resolver problemas complexos de maneira criativa e inovadora.Conhecimento de processos de versionamento de código (Git, Github).Habilidade para traduzir dúvidas e necessidades dos times de negócios em requisitos para as análises.Olá, somos o PagBank!Talvez você nos conheça por maquininhas ou comerciais que ficam na memória, mas somos muito mais!Todos os dias desenvolvemos produtos e soluções inspiradas pelo nosso propósito: facilitar a vida financeira das pessoas e negócios.Trabalhamos para transformar a forma como as pessoas lidam com dinheiro abrindo novas possibilidades para alcançarem seus sonhos.Como fazemos tudo isso?💛Com genteSomos um time que joga junto! Aqui valorizamos todas as diversidades, seja de raça/etnia, gênero, idade, origem, pessoa com deficiência, orientação afetivo-sexual, constituição familiar e estética.💛Com tecnologiaO espírito disruptivo e inovador está no nosso DNA: somos parte do Grupo UOL, empresa 100% brasileira, foi pioneira na internet e transforma a vida das pessoas desde 1996.💛Com uma só culturaTemos uma cultura forte e única, capaz de nos levar além, para continuarmos crescendo e perpetuando o nosso negócio.Somos um dos maiores bancos digitais do país e uma das fintechs mais rentáveis do segmento e certificados como um Excelente Lugar para Trabalhar pela Great Place to Work.Para vivenciar tudo isso, você terá um pacote completo de benefícios que fazem toda a diferença:Vale-alimentação e/ou refeição.Plano de saúde e odontológico.Seguro de vida.Parceria com TotalPass e ZenKlub.Licença maternidade e paternidade estendidas.Auxílio-creche.Descontos de até 50% em pós-graduação e MBA de grandes instituições, como FIA, FAAP e PUCRS.E tem mais:No dress code: o importante é você usar o que te faz bem.#TáDeParabéns: Day off no aniversário.Baby Gift: presente para recém-nascidos.Tá a fim de uma carreira que rende mais?Vem pro nosso time imbatível!#VemProPags.Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4416323402,2026-06-29
Cientista de Dados Sênior - foco em GenAI,Itaú Unibanco,"São Paulo, São Paulo, Brazil",6 days ago,"O Itaú é a marca mais valiosa do Brasil, a melhor empresa para trabalhar segundo o Great Place to Work e o maior banco da América Latina. Nós impactamos diariamente mais de 98 milhões de clientes em 18 países.Somos feitos de pessoas e acreditamos que ter um time com pluralidade de origens, culturas, crenças, experiências, raças, deficiências, gêneros, orientações afetivo-sexuais e gerações ampliam as perspectivas e contribuem para um clima de respeito e valorização das diferenças.Você fará parte da área responsável por redesenhar e implementar o Método Comercial de atuação das agências alinhado com a estratégia do Banco de Varejo. Atuamos como uma squad multidisciplinar, focada em desenvolver soluções de dados e Inteligência Artificial que aceleram a transformação do negócio e melhoram, de forma prática, o dia a dia do time comercial.Nosso grande desafio é transformar dados em agentes autônomos inteligentes, capazes de apoiar decisões, recomendar ações e gerar eficiência em escala.Estamos buscando uma pessoa para a posição deCientista de Dados Sênior, que queira se desenvolver e aprender, compartilhar, colaborar e inovar, entregando valor para todos os nossos clientes.Nessa função você vai:Traduzir problemas reais em soluções com IACriação e implementação de modelos de agentesCriar prompts robustos e estruturadosDesenvolver sistemas com múltiplos agentes colaborandoCriar métricas de qualidade para respostas de IANo que você precisa mandar bem?Experiência prática com PythonConhecimento dos serviços da AWSDomínio de SQL para manipulação e extração de dadosConhecimentos e/ou experiências em uso de GenAI/LLMsConhecimentos de frameworks de multiagentes (LangChain/LangGraph/AutoGen)Conhecimento em RAGConhecimento do processo CRISP-DM (Cross-Industry Standard Process for Data Mining)Ao se tornar um ituber você tem_Vale-TransporteVale-Refeição (Restaurantes) / Vale-Alimentação (Supermercados)Plano médico (Fundação Saúde ItaúouCentral Nacional Unimed)Plano odontológico (OdontoprevouInterodonto)Seguro de VidaPLR – Participação nos Lucros e Resultados (Mediante resultados do banco)Previdência privadaDescontos exclusivos em nossos produtos financeirosLicença maternidade e paternidade estendidaAuxílio Creche / Babá (para papais e mamães)Incentivo a estudosWellhub ou TotalPassAcesso aos Clubes de Lazer Itaú (Guarapiranga / Itanhaém e São Sebastião)+ Algumas vantagens que você pode conhecer durante o processo 😊Conheça mais sobre nossa cultura: https://www.itau.com.br/relacoes-com-investidores/noticias/cultura-itubers-e-nosso-novo-conjunto-de-valores/*Estimulamos candidaturas de pessoas com deficiência em todas as nossas posições, sendo assim, sinta-se à vontade para se candidatar em vagas sinalizadas como exclusivas ou não para pessoas com deficiência. Somos comprometidos com a inclusão e valorizamos a diversidade.#VemProItaú #VemSerItuberShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4429414166,2026-06-29
N/A,N/A,N/A,N/A,N/A,N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4433259094,2026-06-29
Data Scientist,Syngenta,"São Paulo, São Paulo, Brazil",4 days ago,"Descrição da empresaSobre a SyngentaA Syngenta é líder mundial em inovação agrícola, com operações em mais de 90 países. Nossa missão é capacitar agricultores com tecnologias e práticas avançadas que permitam alimentar a crescente população mundial enquanto preservamos o planeta para as futuras gerações. Nossas descobertas científicas pioneiras proporcionam benefícios superiores aos agricultores e à sociedade em uma escala sem precedentes. Orientados por nossas Prioridades de Sustentabilidade, desenvolvemos continuamente tecnologias e soluções que auxiliam os produtores a cultivar plantas mais saudáveis em solos revitalizados, maximizando a produtividade. A Syngenta Crop Protection está sediada em Basel, Suíça, enquanto a Syngenta Seeds mantém sua sede nos Estados Unidos. Conheça nossas histórias e acompanhe nosso trabalho no LinkedIn, Instagram & X.Descrição da vagaNa Syngenta, nosso objetivo é construir a equipe mais colaborativa e confiável na agricultura, fornecendo sementes de alta qualidade e soluções inovadoras de proteção de cultivos que melhorem o sucesso dos agricultores. Para apoiar esta missão, a equipe de Produtos de IA de Vegetais (Vegetables AI Product) da Syngenta está buscando um Data Scientist (Cientista de Dados) com atuação Global. Esta função apoiará a entrega de soluções de IA/ML que transformam o planejamento de demanda, a alocação de estoque e a otimização da cadeia de suprimentos e decisões comerciais.ResponsabilidadesConduzir análise exploratória de dados (EDA) em conjuntos de dados comerciais e de cadeia de suprimentos (demanda, estoque, pedidos, qualidade, logística, custos de produção, precificação).Desenvolver, validar e monitorar modelos de machine learning, incluindo previsão de séries temporais, algoritmos de otimização, classificação e agrupamento aplicados a problemas da cadeia de suprimentos agrícola.Apoiar o design e refinamento de ontologias de grafos de conhecimento e lógica de raciocínio baseada em grafos para confirmação de demanda e alocação de lotes.Atuar como referência técnica interna junto às equipes de engenharia e entrega, revisando saídas de modelos e garantindo o alinhamento com os requisitos de negócios.Projetar e implementar frameworks de monitoramento de desempenho de modelos (rastreamento de precisão, detecção de viés e alertas de desvio).Contribuir para o rastreamento de geração de valor, fornecendo insumos analíticos e quantificação de impacto.Construir e manter notebooks analíticos, dashboards e documentações que gerem propriedade intelectual interna reutilizável.Colaborar com Engenheiros de Dados para definir requisitos de dados, validar a qualidade e garantir a integridade dos pipelines de IA.Parceirizar com o Product Designer para traduzir saídas de modelos em insights acionáveis para planejadores e equipes comerciais.Apoiar o design de experimentos (backtesting, simulação de cenários, testes A/B) para validar recomendações de IA antes da implantação em produção.Manter-se atualizado com avanços em ML aplicado, IA de agentes (agentic AI), raciocínio baseado em LLM e tecnologias de grafos de conhecimento.QualificaçõesExigidasGraduação ou Mestrado em Ciência de Dados, Estatística, Ciência da Computação, Matemática, Engenharia ou área correlata.3 a 5 anos de experiência entregando soluções de ciência de dados aplicada em contextos operacionais ou orientados a produtos.Forte proficiência em Python para ciência de dados (pandas, numpy, scikit-learn, statsmodels, matplotlib/plotly).Experiência com SQL para consultas complexas, transformação e agregação de dados.Sólido entendimento de algoritmos de machine learning: regressão, classificação, análise de séries temporais (ARIMA, Prophet, LSTM), clustering e métodos de otimização.Experiência com design de experimentos, técnicas de validação de modelos e testes de hipóteses estatísticas.Familiaridade com plataformas de dados em nuvem (AWS, Databricks ou similar) e controle de versão (Git).Excelentes habilidades de comunicação em inglês (escrita e falada), sendo o idioma de trabalho diário.Experiência de trabalho em equipes multifuncionais ao lado de gerentes de produto, engenheiros e stakeholders de negócios.DesejadasConhecimento prático de LLMs, arquiteturas RAG ou frameworks de IA de agentes (ex: AWS Bedrock, LangChain).Exposição a grafos de conhecimento, bancos de dados de grafos ou tecnologias semânticas (RDF, SPARQL, property graphs).Familiaridade com domínios de dados de cadeia de suprimentos (supply chain) ou do setor agrícola.Forte capacidade de trabalhar de forma autônoma em equipes globais e multiculturais, lidando bem com ambiguidades e cenários em evolução.Informações adicionaisO que oferecemosUma cultura que celebra a diversidade e a inclusão, promove o desenvolvimento profissional e busca um equilíbrio entre vida profissional e pessoal que apoie os membros da equipe. Oferece opções de trabalho flexíveis para atender às suas necessidades profissionais e pessoais.Pacote de benefícios completo (médico, odontológico e oftalmológico) que começa no seu primeiro dia.Férias Remuneradas, Licença Maternidade e Paternidade, Auxílio Educação, Programas de Bem-Estar, Descontos Corporativos, entre outros benefícios.A Syngenta é uma empresa que promove igualdade de oportunidades e não discrimina no recrutamento, contratação, treinamento, promoção ou quaisquer outras práticas de emprego por motivos de raça, cor, religião, sexo, nacionalidade, idade, orientação sexual, estado civil ou veterano, deficiência ou qualquer outro status legalmente protegido.Faça parte de uma empresa líder que dá vida ao potencial das plantas.íbridoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4432836269,2026-06-29
Junior Data Science Specialist,Lenovo,"Indaiatuba, São Paulo, Brazil",5 days ago,"We are Lenovo. We do what we say. We own what we do. We WOW our customers.Lenovo is a US$83 billion revenue global technology powerhouse, ranked #196 in the Fortune Global 500, and serving millions of customers every day in 180 markets. Focused on a bold vision to deliver Smarter Technology for All, Lenovo has built on its success as the world’s largest PC company with a full-stack portfolio of AI-enabled, AI-ready, and AI-optimized devices (PCs, workstations, smartphones, tablets), infrastructure (server, storage, edge, high performance computing and software defined infrastructure), software, solutions, and services. Lenovo’s continued investment in world-changing innovation is building a more equitable, trustworthy, and smarter future for everyone, everywhere. Lenovo is listed on the Hong Kong stock exchange under Lenovo Group Limited (HKSE: 992) (ADR: LNVGY).This transformation together with Lenovo’s world-changing innovation is building a more inclusive, trustworthy, and smarter future for everyone, everywhere. To find out more visit www.lenovo.com, and read about the latest news via our StoryHub.We are looking for a Data AI Analyst (Junior / Mid-level) to support and drive Data Science and AI initiatives within the Services organization, acting as a key enabler between business needs and advanced analytics solutions. This professional will play a critical role in identifying opportunities, structuring use cases, developing analytical models and promoting a data-driven culture across Services. The role involves close collaboration with business stakeholders and external partners to ensure scalable and impactful solutions. Additionally, the analyst will act as a Data AI evangelist, fostering adoption, educating teams, and supporting the integration of analytics into operational and strategic decision-making, ensuring alignment with corporate guidelines and business objectives.General ResponsibilitiesIdentify opportunities to apply Data Analytics, Machine Learning, AI, and other innovative technologies within Services processesPerform data collection, cleansing, analysis, and interpretationSupport the structuring of AI/Data Science use cases (business case, ROI, impact)Develop dashboards, reports, automations, and exploratory analysisDocument analytical processes, models, and data flowsCollaborate with stakeholders to translate business needs into analytical solutionsEnsure data quality, governance, and consistencySupport automation and continuous improvement initiativesLead or support training sessions and awareness initiatives on Data and AI usageAct as a data-driven culture evangelist, promoting best practicesPosition ResponsibilitiesSupport the development of analyses and models under supervisionPerform data preparation and cleaning (data wrangling)Develop analytical projectsDocument activities and processesApply Data Science and AI tools and methodologiesSupport operational demands of the areaIntermediate/Avanced English level required.We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, religion, sexual orientation, gender identity, national origin, status as a veteran, and basis of disability or any federal, state, or local protected class.Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4431438923,2026-06-29
Cientista de Dados (híbrido SP) - 134292,GFT Technologies,Greater São Paulo Area,5 days ago,"O que buscamos:Profissional que atue como Cietista de Dados(Machine Learning e Deep learning) para atuação híbrida de 1 a 2 vezes por semana na região do Morumbi-SP.ResponsabilidadesTratar, transformar e organizar dados (estruturados, semi-estruturados ou não-estruturados), com uso de habilidades em matemática, estatística, programação, machine learning e outros, aplicando suas capacidades analíticas para identificar soluções para os problemas de negócios e contribuir na tomada de decisões e estratégias da sociedade;Explorar e analisar dados para determinar tendências e ou oportunidades para gerar valor ao negócio;Desenvolver novos algoritmos e/ou adaptar algoritmos do estado da arte para resolver problemas e criar ferramentas e soluções;Conectar soluções internas para produtos de uso externo;Comunicar de maneira clara previsões e resultados para as áreas demandantes, através de visualizações de dados eficazes e storytelling, adotando gráficos, tabelas, relatórios e, principalmente, narrativas para apresentar conclusões de um projeto de análise de dados para um público não técnico;Utilizar os dados de forma ética e de acordo com as políticas de segurança da informação da instituição e da lei geral de proteção de dados;Atuar como referência técnica de seu grupo de trabalho, direcionando e acompanhando as atividades.Requisitos ObrigatóriosExperiência em projetos utilizando Machine Learning e Deep learning;Experiência com projetos de IA Generativa;Experiência em tópicos de Engenharia de prompt, LLM Agents, RAG, LangChain e AWS Bedrock;Experiências com projetos de IA e protótipos orientado a produtos;Conhecimento de conceitos de gestão de projetos (metodologia ágil, scrum, PMBOK, entre outros);Nível de inglês avançado.DiferenciaisConhecimento em MLOps;Mestrado/Doutorado em ciência de dados/IA;Conhecimento em Cloud (AWS e ou Databrics);Experiência em gestão de produtos digitais.Descrição comportamental:Procuramos uma pessoa que:Goste de trabalhar em equipe e sejacolaborativaem suas atribuições;Tenhacoragempara se desafiar e ir além, abraçando novas oportunidades de crescimento;Transforme ideias emsoluções criativase busque qualidade em toda sua rotina;Tenha habilidades deresolução de problemas;Possua habilidade e se sinta confortável para trabalhar de forma independente egerenciar o próprio tempo;Tenha interesse em lidar com situações adversas einovadorasno âmbito tecnológico.Big enough to deliver – small enough to care.#VempraGFT#VamosVoarJuntos#ProudToBeGFTShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4429466796,2026-06-29
Data Scientist Specialist,Banco Bradesco,"Osasco, São Paulo, Brazil",2 weeks ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Crédito?Temos como missão garantir uma gestão eficiente na concessão e manutenção de crédito, que assegure rentabilidade e o crescimento com solidez dos ativos da Organização.Modelo de trabalho : Híbrido - 2x PresencialUnidade: São Paulo - OsascoComo será seu dia a dia?Sendo Data Scientist Specialist, atuará na gerência Crédito e suas principais atividades serão:Modelagem específica para provisionamento (resolução 4966, PD/EAD/LGD);Identificação de oportunidade nas aplicações dos modelos;Identificação de melhorias em modelos existentes;Análise de dados;Melhoria de processo.Requisitos e QualificaçõesO que você precisa ter ou saber?É necessário conhecimentos em provisionamento/Resolução 4966 e mercado financeiroSerá um diferencial se você tiver:Conhecimentos em Python / Databricks e estatística.O que nós oferecemosNo Bradesco valorizamos a saúde e bem-estar, oferecendo um extenso portfólio de benefícios a todas nossas pessoas funcionárias:PLR ou Bônus: Conforme a elegibilidade de cargo*Convênio MédicoConvênio OdontológicoSeguro de VidaVale AlimentaçãoVale Refeição13º Cesta AlimentaçãoTotal PassVale Transporte (adesão opcional)Descontos em produtos e serviços em empresas parceirasPrevidência Privada (adesão opcional, com participação financeira da Organização Bradesco)Viva Bem Bradesco: programa de saúde, bem-estar e qualidade de vidaUnibrad: Universidade Corporativa BradescoIsenção de Tarifas: condições especiais em diversos produtos e serviçosAuxílio Creche ou BabáLicença Paternidade estendida de 20 diasLicença Maternidade de 180 dias, acompanhamento assistencial da gestação até o pós-partoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4418031756,2026-06-29
Data Scientist III - Estratégia de Investimentos,Banco Bradesco,"Osasco, São Paulo, Brazil",2 weeks ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Pricing?Somos responsáveis pela definição e gestão estratégica de preços e condições financeiras dos produtos do banco, equilibrando rentabilidade, competitividade e risco. Atuando com dados, modelagens e inteligência de mercado para apoiar decisões comerciais e impulsionar resultados sustentáveis em diversas linhas de negócio.Modelo de trabalho : Híbrido - 3x PresencialUnidade: Osasco/SPComo será seu dia a dia?Sendo Data Scientist III - Estratégia de Investimentos, atuará na gerência Investimentos Pricing e suas principais atividades serão:Desenvolver análises que suportem a definição e revisão das estratégias de pricing para produtos de investimentos (ex.: depósitos, LCI, LCA)Avaliar estruturas de taxas, descontos e incentivos comerciais, identificando oportunidades com base em rentabilidade, competitividade e perfil de cliente, além de elaborar planos de açãoMonitorar a adesão à política de alçadas para descontos comerciais, garantindo o tratamento adequado de desviosOrquestrar e priorizar, junto às áreas de tecnologia, os desenvolvimentos necessários para evolução da precificação, definindo planos de ação e acompanhando sua execuçãoRealizar estudos de mercado, análise de performance de produtos e identificação de oportunidades em novos negóciosGerar, estruturar e comunicar insights acionáveis para suportar decisões estratégicas de pricingRequisitos e QualificaçõesO que você precisa ter ou saber?Ensino superior completo em Economia, Administração, Engenharia ou áreas correlatasSólida experiência com análise de dados, modelagem financeira e precificação, preferencialmente aplicada a produtos de investimentos (ex.: CDB, LCI, LCA)Conhecimento do mercado e da regulamentação de investimentos bancáriosConhecimento em estratégia de precificação e análise de rentabilidadeExcel avançado e SQLSerá um diferencial se você tiver:Experiência com PythonO que nós oferecemosNo Bradesco valorizamos a saúde e bem-estar, oferecendo um extenso portfólio de benefícios a todas nossas pessoas funcionárias:PLR ou Bônus: Conforme a elegibilidade de cargo*Convênio MédicoConvênio OdontológicoSeguro de VidaVale AlimentaçãoVale Refeição13º Cesta AlimentaçãoTotal PassVale Transporte (adesão opcional)Descontos em produtos e serviços em empresas parceirasPrevidência Privada (adesão opcional, com participação financeira da Organização Bradesco)Viva Bem Bradesco: programa de saúde, bem-estar e qualidade de vidaUnibrad: Universidade Corporativa BradescoIsenção de Tarifas: condições especiais em diversos produtos e serviçosAuxílio Creche ou BabáLicença Paternidade estendida de 20 diasLicença Maternidade de 180 dias, acompanhamento assistencial da gestação até o pós-partoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4417407822,2026-06-29
