title,company,location,posted,description,applicants,work_mode,link,data_coleta
Data Scientist [All Levels],Nubank,"São Paulo, São Paulo, Brazil",2 weeks ago,"About UsNu was born in 2013 with the mission to fight complexity to empower people in their daily lives by reinventing financial services. We are one of the world’s largest digital banking platforms, serving millions of customers across Brazil, Mexico, and Colombia. For more information, visit our institutional page https://international.nubank.com.br/careers/Data Science at NubankData Science is essential to every part of the business at Nubank, since Day 1. Most areas of the company use data science to some extent. Data Scientists are responsible for translating business needs into models and other types of data-driven solutions.As a Data Scientist, you’re expected toInteract with other team members to understand how to best apply data science and artificial intelligence to Nubank’s problems;Investigate problems and discover insights through exploratory data analysis and other quantitative methods;Have great numerical and analytical literacy, including knowledge of statistics and linear algebra as needed;Work on multiple stages of the ML model lifecycle–from ideation to training and steady-state operation;Work across multiple types of models, algorithms and learning paradigms;Communicate technical points, decisions and tradeoffs to peers and stakeholders;Our ideal candidateHas experience working with ML models in a production environment;Understands possible pitfalls and tradeoffs when applying ML to real-word, sometimes messy problems;Is familiar with the technical aspects of learning theory and algorithms and is able to discuss details if needed;Has experience working with the Python scientific stack (Numpy, Pandas, Scipy, Sklearn, Boosted Tree Libraries, etc);Has experience working with Tensor/Deep Learning libraries such as Tensorflow and Pytorch;Is able to connect analytical outcomes to business priorities and advise stakeholders on the best course of action;Has good communication skills and is able to convey technical topics and decision points to diverse audiences;Has experience writing general-purpose code using modern tools;Understands the implications of causality when applying ML to problems;Is up-to-date with recent developments in the area as a whole and is able to identify opportunities for improvement and innovation;Our BenefitsChance of earning equity at NubankFood/ Meal Card (Vale-Refeição and/or Vale Alimentação)Public Transportation Commuting Benefit (Vale-Transporte)NuCare – Psychological, Financial and Legal Assistance ProgramLife InsuranceMedical PlanDental PlanNuLanguage – Language Course ProgramNucleo - Our learning platform of coursesExtended Parental LeaveDaycare AllowanceParental ConsultancyWork-from-home AllowanceGym Partnerships30 days of paid vacationWork Model for this RoleHybrid 2-3 times/week:Our hybrid work model brings us to the office at least twice a week, on strategic days designed to maximize team connection and collaboration. For more details, visit https://building.nubank.com/nu-hybrid-work-model/Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4364197061,2026-03-05
Data Science - Analytics & Machine Learning,Mercado Livre Brasil,Greater São Paulo Area,2 days ago,"ComoData Science - Analytics & Machine Learningno Mercado Livre, você projetará e escalará sistemas inovadores e seguros que resolvem problemas reais e de alto impacto. Trabalhará em um ambiente dinâmico com tecnologia de ponta, aplicando boas práticas de engenharia, modelos próprios de IA e aprendizado contínuo, com o propósito de democratizar o comércio eletrônico e os serviços financeiros na América Latina.Imagine-se empreendendo projetos desafiadores, dinâmicos e inovadores esendo responsável por:Realizar análises exploratórias e gerar insights acionáveis para suporte à tomada de decisão.Desenvolver, validar e implementar modelos estatísticos e de Machine Learning.Preparar e estruturar dados, realizar tratamento, transformação e feature engineering.Definir, acompanhar e analisar métricas e KPIs de performance.Apoiar o desenho e a análise de experimentos, incluindo testes A/B.Documentar processos, garantir boas práticas de versionamento e monitoramento e colaborar com times multidisciplinares (Dados, Engenharia, Produto e Negócio).O que buscamos em você?Dominar Python e possuir sólidos conhecimentos em SQL.Possuir experiência com bibliotecas de Machine Learning (scikit-learn, XGBoost, TensorFlow ou similares) e aplicar estatística e modelagem preditiva.Utilizar Git e atuar em ambientes em nuvem, possuir conhecimento em MLOps e deploy de modelos como diferencial.Demonstrar experiência com modelos de linguagem (LLMs), aplicar técnicas de prompt engineering, utilizar APIs de IA generativa e compreender conceitos de IA Agêntica, incluindo orquestração de agentes e automação baseada em LLMs.Você se anima a deixar sua marca na tecnologia da América Latina?Candidate-se e junte-se ao nosso propósito!Modalidade de trabalho híbrida. Escritório Melicidade (São Paulo).Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4378108155,2026-03-05
Cientista de dados (Especialista em Modelagem de Crédito,HUPDATA,"Barueri, São Paulo, Brazil",11 hours ago,"Buscamos um(a) Cientista de Dados /Especialista em Modelagem de Crédito para atuar na área de Políticas de Crédito, desenvolvendo análises quantitativas e modelos estatísticos que suportem a definição e evolução das estratégias de concessão de crédito.O profissional será responsável por gerar insights, identificar oportunidades de melhoria nas políticas vigentes, desenvolver modelos estatísticos e preditivos para suporte à concessão de crédito e simular impactos de alterações nas políticas de crédito, apoiando decisões que equilibram crescimento, risco e rentabilidade.Esperamos alguém que vá além de análises descritivas, contribuindo com desenvolvimento de modelos, evolução das estratégias de risco baseadas em dados, simulações robustas para tomada de decisão e geração de insights que impactem diretamente a política de crédito.Principais ResponsabilidadesDesenvolver modelos estatísticos e preditivos aplicados a risco de créditoEvoluir modelos existentesRealizar análises sobre comportamento de carteiraDesenvolver simulações de impacto de alterações em políticas de créditoEstruturar bases analíticas para modelagemGerar insights sobre o comportamento da carteira de créditoIdentificar oportunidades de melhoria nas políticas e estratégias de concessãoConstruir dashboards analíticos para acompanhamento da performance de créditoTrabalhar em parceria com áreas de risco, negócio e tecnologiaRequisitos Técnicos ObrigatóriosExperiência em modelagem estatística aplicada a crédito ou riscoProgramação em PythonForte domínio de SQL para manipulação de grandes basesExperiência com bibliotecas de análise e modelagem (ex: pandas, scikit-learn, statsmodels)Conhecimento em técnicas de modelagem preditiva (regressão logística, árvores, boosting, etc.)Experiência com análise de comportamento de carteira (vintage, roll rate, cohort)Experiência com ferramentas de visualização (Power BI, Tableau ou similares)Conhecimentos desejáveis em risco de créditoModelagem de Probability of Default (PD)Scorecards de créditoEstratégias de cutoff e segmentaçãoLoss rate / NPLSimulação de políticas de créditoEstratégia de concessãoDiferenciaisExperiência em instituições financeiras, fintechs, bancos ou financeirasExperiência com desenvolvimento de credit scoringExperiência com machine learning aplicado a risco de créditoExperiência com motores de decisão de créditoExperiência com deploy de modelos ou MLOpsPerfil ComportamentalForte raciocínio analítico , curiosidade investigativa sobre dados, capacidade de traduzir modelos em insights de negócio, autonomia para conduzir análises complexas, comunicação clara de resultados técnicos para áreas de negócio.Formação Estatística/Matemática/Engenharia/Ciência de Dados/Ciência da ComputaçãoTrabalho híbrido, presencial 3 vezes por semana no cliente (região da Berrini e Barueri), sendo o primeiro mês 100% presencial.Remuneração a definir + benefíciosShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4381135795,2026-03-05
Data Scientist I,Banco Bradesco,"Osasco, São Paulo, Brazil",2 days ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Cobrança e Recuperação de Créditos (DRC)?Temos como missão garantir a aplicação da Política de Cobrança e Recuperação de Créditos, estabelecendo um processo estruturado para cobrança dos vencidos, gestão de alçadas, regras e limites de descontos nas regularizações de dívidas, atribuição de responsabilidade e de delegação de autoridade, segregando funções e assegurando a existência de controles efetivos que permitam o cumprimento das diretrizes da Organização.Modelo de trabalho : Híbrido - 2x PresencialUnidade: Osasco/SPComo será seu dia a dia?Sendo Data Scientist I - Precificação e Cobrança, atuará na gerência Varejo PJ - Estratégia de Precificação e suas principais atividades serão:Identificar dados de fontes primárias ou secundárias necessários para a análise de oportunidades em redução de inadimplência;Determinar os dados necessários para coleta e inclusão no BI, encontrando as melhores formas de organizar e armazenar as informações de renegociações;Atuar na análise das curvas de inadimplência, reunindo informações pertinentes, organizando-as de forma lógica e funcional;Analisar e identificar oportunidades nas réguas de cobrança do PJ, políticas de renegociação e comissão para terceiros;Gerar e analisar resultados usando técnicas estatísticas e fornecendo relatórios de progresso, seja de impactos regulatórios ou ainda de análise de desempenho (qualidade e produtividade);Identificar, analisar e interpretar os dados de forma a extrair padrões e tendências, torná-los visíveis e compreensíveis, apontar caminhos e soluções para eventuais problemas, entre outros.Requisitos e QualificaçõesO que você precisa ter ou saber?Superior Completo em áreas de exatas, tecnologia ou similares;Conhecimentos em SAS, SQL e Python;Conhecimentos em Databricks;Conhecimentos intermediários nas ferramentas de BI (Tableau, Looker, PowerBI).Será um diferencial se você tiver:Conhecer clusterização e estratégia de Preço / Cobrança.Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4380169346,2026-03-05
Cientista de Dados Pleno,Itaú Unibanco,"São Paulo, São Paulo, Brazil",2 days ago,"Vem ser Ituber & vem fazer ItaúO Itaú é a marca mais valiosa do Brasil, a melhor empresa para trabalhar segundo o Great Place to Work e o maior banco da América Latina. Nós impactamos diariamente mais de 98 milhões de clientes em 18 países.Somos feitos de pessoas e acreditamos que ter um time com pluralidade de origens, culturas, crenças, experiências, raças, deficiências, gêneros, orientações afetivo-sexuais e gerações ampliam as perspectivas e contribuem para um clima de respeito e valorização das diferenças.Na IGA, você estará em um ambiente dinâmico, contribuindo para a construção da rentabilidade não apenas do Itaú, mas também de clientes que passaram a contratar a IGA para apoiar seus projetos.A gerência atua em dois pilares principais:Dados: Desenvolvimento de soluções baseadas em Machine Learning (ML) e Generative AI (GenAI) para resolver dores ou desbloquear potenciais de áreas e produtos.Sourcing: Mapeamento de oportunidades e projetos voltados à redução de despesas por meio de dados, com foco em otimizações e ML.O ambiente é repleto de desafios e oportunidades, com dados como pilar fundamental para impulsionar o futuro da IGA.Estamos buscando uma pessoa para a posição deCientista de Dados Pleno, que queira se desenvolver e aprender, compartilhar, colaborar e inovar, entregando valor para todos os nossos clientes.Internamente, o profissional terá uma atuação transversal na IGA, podendo participar de projetos em diferentes frentes:Ativos: Modelos para avaliação de imóveis (vendas diretas e de imóveis retomados), além de precificação de veículos pesados e leves.Comercial: Modelos de propensão, identificação de potenciais e construção de pitches com LLMs.Produtos Digitais: Iniciativas como o Nosso Mercado IGA (modelos de recomendação, buscadores semânticos e growth), Inotas (GenAI estruturante) e soluções para viagens.Produtos: Projetos de Sourcing (redução de despesas por meio de compras) e Gráfica (modelagem de personas).Além disso, você irá:Atuar através dos dados para mapeamento e melhoria de processosIrá participar do discovery técnico e de negócio para aprimorar produtos digitaisConstruirá agentes de Machine Learning e GenAINo que você precisa mandar bem?Experiência prática com PythonConhecimento de consultas de banco de dados com SQLVivência com serviços de big data da AWS (Athena, Sagemaker, Glue)Familiaridadedesejávelcom IA Generativa (GenAI)Conhecimento em tipos de modelagem de dados (clusterização, regressão, categorização, etc)Ao se tornar um ituber você tem_Vale-TransporteVale-Refeição (Restaurantes) / Vale-Alimentação (Supermercados)Plano médico (Fundação Saúde ItaúouCentral Nacional Unimed)Plano odontológico (OdontoprevouInterodonto)Seguro de VidaPLR – Participação nos Lucros e Resultados (Mediante resultados do banco)Previdência privadaDescontos exclusivos em nossos produtos financeirosLicença maternidade e paternidade estendidaAuxílio Creche / Babá (para papais e mamães)Incentivo a estudosWellhub ou TotalPassAcesso aos Clubes de Lazer Itaú (Guarapiranga / Itanhaém e São Sebastião)+ Algumas vantagens que você pode conhecer durante o processo 😊Conheça mais sobre nossa cultura: https://www.itau.com.br/relacoes-com-investidores/noticias/cultura-itubers-e-nosso-novo-conjunto-de-valores/*Estimulamos candidaturas de pessoas com deficiência em todas as nossas posições, sendo assim, sinta-se à vontade para se candidatar em vagas sinalizadas como exclusivas ou não para pessoas com deficiência. Somos comprometidos com a inclusão e valorizamos a diversidade.#VemProItaú #VemSerItuberShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4377760456,2026-03-05
Cientista de Dados,Claro Brasil,"São Paulo, São Paulo, Brazil",1 day ago,"Responsabilidades e atribuiçõesO que te espera no dia a dia:Desenvolver, treinar e evoluir modelos de Machine Learning e Deep Learning, aplicados a problemas reais de negócio;Analisar, preparar e transformar grandes volumes de dados em escala, garantindo qualidade, consistência e usabilidade analítica;Definir e direcionar abordagens práticas de Ciência de Dados e Inteligência Artificial, conectando técnica e impacto no negócio;Implantar, monitorar e otimizar modelos em produção, atuando com práticas de MLOps para garantir performance, estabilidade e governança;Avaliar continuamente a aderência das soluções aos objetivos de negócio, experiência do usuário e requisitos de usabilidade;Atuar de forma colaborativa com tradutores de dados, cientistas de dados distribuídos e times de tecnologia, garantindo alinhamento e escala das soluções;Requisitos e qualificaçõesBuscamos alguém que:Pensa e age a partir das perspectivas dos clientes. Demonstra interesse e curiosidade de conhecer os clientes, seus comportamentos e preferências para atender e superar suas expectativas;Demonstra compromisso permanente em aprender, ensinar e desenvolver, contribuindo para um ambiente descontraído, respeitoso e colaborativo, incentivando a diversidade;É flexível para se desprender de paradigmas e modelos mentais existentes. Busca soluções inovadoras e sustentáveis, para criar vantagens competitivas para o negócio, equilibrando os interesses econômicos, ambientais e sociais.Para fazer parte do nosso time, é essencial:Residir em São Paulo;Graduação em Engenharia, Estatística, Matemática, Sistemas da Informação e Ciência da Computação e/ou áreas correlatas;Experiência em Ciência de Dados, modelagem estatística e analítica avançada;Domínio de Python e bibliotecas do ecossistema (Pandas, NumPy, scikit-learn e correlatas);Experiência com grandes volumes de dados e modelagem preditiva;É diferencial:Conhecimento em Cloud (OCI, AWS ou Azure);Domínio de SQL, versionamento com Git e uso de containers;Familiaridade com LangChain, Graph-based frameworks e aplicações de IA generativa;Experiência na preparação e integração de grandes volumes de dados utilizando SQL, Spark, Databricks;Informações adicionaisNaClaro, pessoas é um dos nossos valores.Com este pensamento, investimos sempre no cuidado com a saúde, bem-estar e qualidade de vida dos nossos colaboradores! Para que você tenha a melhor experiência em sua jornada com a gente, oferecemos um atraente pacote de benefícios. Veja só:Jornada Flexível;Vale-Refeição e Alimentação;Assistência Médica e Odontológica;Auxílio para patologias graves;Auxílio ao dependente com deficiência;Benefício Farmácia;Auxílio Creche/Babá;Programa de Apoio Pessoal;Claro Running;Previdência Privada;Seguro de Vida;Combo Colaborador;Wellhub (Gympass)Meu Pet ClubConvênios e Parcerias;Programa de Reconhecimento por tempo de casa;E muito mais!Na nossa empresa, valorizamos um ambiente inclusivo, diverso, ético, colaborativo e harmônico. Não fazemos distinção de gênero, raça, cor, orientação sexual, posição social ou deficiências. Todos e todas são bem-vindos(as)!Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4379968431,2026-03-05
Senior Data Scientist,Uncover,Greater São Paulo Area,1 day ago,"Olá, somos a Uncover, uma martech de ciência de dados para Marketing. Nossa empresa criou uma plataforma SaaS pioneira que está redefinindo a maneira de mensurar os resultados dos maiores anunciantes do país. Usamos o estado da arte em tecnologia para integrar fontes de dados, implementar modelos de IA e, com isso, gerar análises sobre impacto de ações de mídia e do mix de marketing na geração de resultado, ROI e para fazer otimização do budget de mídia e projeções de receita.Estamos buscando profissionais para a posição deCientista de Dados, que vai, desenvolver, evoluir e operacionalizar modelos estatísticos e soluções analíticas escaláveis que sustentem o produto da Uncover e ampliem a geração de valor estratégico para clientes e operações internas.As responsabilidades são:Desenvolvimento de modelos estatísticos e de machine learning: Criar, validar e evoluir modelos estatísticos e algoritmos aplicados a marketing intelligence, garantindo robustez metodológica, consistência técnica e aderência às necessidades estratégicas do produto.Produtização e escalabilidade de soluções analíticas: Transformar modelos analíticos em soluções escaláveis e integráveis ao produto, garantindo eficiência operacional, reprodutibilidade e redução de dependência manual.Estruturação técnica de estudos e hipóteses: Definir abordagens metodológicas, critérios estatísticos e estratégias de modelagem com base nos problemas de negócio e nas prioridades das squads.Implementação e monitoramento em produção: Acompanhar a implementação de modelos em ambiente produtivo, monitorando performance, degradação, estabilidade e necessidade de recalibração contínua.Colaboração com squads multidisciplinares: Atuar em conjunto com Engenharia, Produto, Martech e Insights para traduzir necessidades técnicas e de negócio em soluções analíticas viáveis e estratégicas.Análise exploratória e validação de dados: Realizar análises exploratórias aprofundadas, avaliar qualidade e consistência de dados e propor ajustes estruturais quando necessário.Documentação técnica e governança metodológica: Garantir documentação clara de premissas, códigos, decisões metodológicas e racional estatístico, promovendo padronização e continuidade do conhecimento técnico.Pesquisa aplicada e evolução técnica: Investigar novas metodologias, técnicas estatísticas e abordagens de machine learning que possam elevar a maturidade analítica e a diferenciação competitiva da Uncover.O que você tem que oferecer para ser considerado nesse processo seletivo?Formação em Estatística, Economia, Ciência de Dados, Engenharia ou áreas afins.Experiência prévia e sólida com modelagem de MMM, modelos de séries temporais / forecasting, ou projetos complexos de mensuração de marketing baseados em dados.Domínio de Python e bibliotecas como statsmodels, scikit-learn, pandas e numpy.Perfil consultivo com boa capacidade de comunicação e facilidade para conectar a análise estatística a decisões de marketing.Facilidade para trabalhar em equipe, com perfil colaborativo e postura orientada a soluções.DiferenciaisInglês Avançado (leitura técnica e comunicação quando necessário).Experiência em técnicas de inferência causal (como controles sintéticos, diff-in-diff, matching).O que te oferecemos aqui na Uncover?Vaga para atuação 100% remota;Plano de Saúde e Odontológico 100% custeados pela Uncover para o titular, com desconto no pagamento mensal para dependentes (cônjuge e/ou filhos);VA/VR flexível no cartão de benefícios iFood no valor de R$ 1.200,00 mensais;Recesso de final de ano sem descontar férias;Notebook para trabalho;Auxílio Home Office em modalidade reembolso de até R$ 2.500,00 para você adaptar seu espaço de home office em casa;Wellhub + Conexa (terapias);Sesc;ECX Farmácia;Petlove;Parcerias com instituições de ensino;Ginástica Laboral;Licença parental estendida (Empresa Cidadã);Jornada de Trabalho Flexível;Day off de aniversário;Férias Co - mensalidade paga pela Uncover para você aproveitar seu descanso trocando os créditos por passagens, hospedagens e passeios;Seguro de Vida Metlife + Kit Nascimento._ COMPROMISSO COM DIVERSIDADE, EQUIDADE E INCLUSÃONa Uncover, valorizamos a diversidade e estamos comprometidos em criar um ambiente inclusivo para todos os colaboradores. Acreditamos que a inclusão de diferentes perspectivas e experiências é fundamental para o nosso sucesso e inovação. Isso se traduz em gerações, gênero, religião, pessoas com deficiência, LGBTQI+, etnia, raça e diversidade de experiências.Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4380599834,2026-03-05
Criador de Agentes de IA,KPMG Brazil,"São Paulo, São Paulo, Brazil",2 months ago,"Inclusão e respeito à diversidade e equidade fazem parte do DNA da KPMG.Aqui valorizamos todas as pessoas, encorajando e empoderando os nossos profissionais para que se sintam parte das nossas conquistas.Independente da sua idade, gênero, raça, cor, credo, orientação, sexual, etnia, origem nacional ou deficiência, te convidamos a fazer a diferença. Venha fazer parte do time KPMG!️‍ ️‍⚧️ ♿ ✊✝️Inspire Confidence. Empower Change.Aqui na KPMG:Fazemos o que é certo #IntegrityAprendemos e nos aprimoramos #ExcellencePensamos e agimos de maneira arrojada #CourageRespeitamos uns aos outros e nos e nos fortalecemos com nossas diferenças #TogetherFazemos o que realmente importa #For BetterResponsabilidades e atribuições:Caso seja aprovado(a), você terá a oportunidade de:Desenvolver agentes inteligentes com Copilot Studio.Integrar soluções utilizando Power Apps e Power Automate.Estudar e acompanhar atualizações das ferramentas de IA.Colaborar em projetos voltados para automação e inovação.Trabalhar em equipe para entrega de soluções eficientes.Requisitos e qualificações:O que procuramos em você?Cursando graduação na área de Tecnologia da Informação ou correlatas.Dedicação em ferramentas de IA e desenvolvimento de agentes.Experiência: Projetos pessoais ou cursos voltados para IA (diferencial).Competências: Comunicação, trabalho em grupo, proatividade e busca contínua por conhecimento.Ferramentas e TecnologiasCopilot Studio Microsoft Power Platform (Power Apps, Power Automate)Certificações Microsoft (diferencial)Quais as vantagens de ser KPMG?Aqui atuamos com as mais novas tecnologias;Nossos profissionais são referência no mercado;Somos uma das maiores empresas de prestação de serviço do mundo;Quais benefícios oferecemos?Vale RefeiçãoVale AlimentaçãoAssistência MédicaAssistência OdontológicaVale TransporteBenefício Bem-estar (Academia)Convênio FarmáciaSeguro de VidaKPMG PrevAuxílio CrecheIncentivo a GraduaçãoIncentivo à IdiomasSubsídio de Órgão de ClasseBrinde CasamentoBrinde NascimentoLicença Maternidade estendidaJornada de Trabalho FlexívelMeu Tempo: até 6 dias inteiros por ano — ou 12 meios períodos — para você fazer uma pausa, cuidar de si e usar como quiser, quando precisar.PPLShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4362154583,2026-03-05
Cientista de Dados Júnior - Engajamento e Rentabilização de Cliente PJ (Vaga afirmativa para Mulheres),Itaú Unibanco,"São Paulo, São Paulo, Brazil",18 hours ago,"O Itaú é a marca mais valiosa do Brasil, a melhor empresa para trabalhar segundo o Great Place to Work e o maior banco da América Latina. Nós impactamos diariamente mais de 98 milhões de clientes em 18 países.Somos feitos de pessoas e acreditamos que ter um time com pluralidade de origens, culturas, crenças, experiências, raças, deficiências, gêneros, orientações afetivo-sexuais e gerações ampliam as perspectivas e contribuem para um clima de respeito e valorização das diferenças.Estamos buscando uma pessoa para a posição de Cientista de Dados Júnior, que queira se desenvolver e aprender, compartilhar, colaborar e inovar, entregando valor para todos os nossos clientes.Estamos criando uma disrupção no modelo de atendimento a PMEs (Pequenas e Médias Empresas) com produtos de IA Generativa e precisamos de um talento nessa área para nos ajudar a evoluir produtos de grande sucesso e criar outros que vão impactar diretamente o negcio.Nessa Função Você VaiMergulhar a fundo no negócio para entender as jornadas e dores do usuárioEvoluir e criar grafos de multiagentes conectando com a nossa arquiteturaExperimentar e propor novas features baseadas em GenAIFormação: Superior Completo - Ciência Da Computação , Superior Completo - Análise De Sistemas , Superior Completo - Engenharia , Superior Completo - Estatística Superior Completo - MatemáticaCompetências Técnicas: sql , Frames de GenIA: langchain, langgraph etc, Python,Prompt EngineeringAo se tornar um ituber você tem_Vale-TransporteVale-Refeição (Restaurantes) / Vale-Alimentação (Supermercados)Plano médico (Fundação Saúde Itaú ou Central Nacional Unimed)Plano odontológico (Odontoprev ou Interodonto)Seguro de VidaPLR – Participação nos Lucros e Resultados (Mediante resultados do banco)Previdência privadaDescontos exclusivos em nossos produtos financeirosLicença maternidade e paternidade estendidaAuxílio Creche / Babá (para papais e mamães)Incentivo a estudosWellhub ou TotalPassAcesso aos Clubes de Lazer Itaú (Guarapiranga / Itanhaém e São Sebastião)+ Algumas vantagens que você pode conhecer durante o processo 😊Conheça mais sobre nossa cultura: https://www.itau.com.br/relacoes-com-investidores/noticias/cultura-itubers-e-nosso-novo-conjunto-de-valores/Estimulamos candidaturas de pessoas com deficiência em todas as nossas posições, sendo assim, sinta-se à vontade para se candidatar em vagas sinalizadas como exclusivas ou não para pessoas com deficiência. Somos comprometidos com a inclusão e valorizamos a diversidade.#VemProItaú #VemSerItuberShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4371287005,2026-03-05
N/A,N/A,N/A,N/A,N/A,N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4379978418,2026-03-05
